"Наименование товара";"Цена товара";"Ссылка на товар";"Производитель"
"Ауробин мазь 20г";"322";"https://zdravcity.ru/p_aurobin-maz-20g-0007299.html";"НЕ ОПРЕДЕЛЕНО"
"Бэби Дэта Кроха аква спрей детский 2в1 фл. 75 мл";"0";"https://zdravcity.ru/p_bjebi-djeta-kroha-detskij-akva-sprej-2v1-fl-75ml-0089435.html";"Химик ОАО"
"Аэрозоль Дэта Бэби детский от клещей и комаров 100 мл";"147";"https://zdravcity.ru/p_djeta-bjebi-ajerozol-detskij-ot-kleschej-i-komarov-sredstvo-akaricidno-repellentnoe-fl-100ml-0093260.html";"Химик ОАО"
"Бэби Дэта Кроха аква спрей детский 2в1 фл. 100 мл";"162";"https://zdravcity.ru/p_bjebi-djeta-kroha-detskij-akva-sprej-2v1-fl-100ml-0089437.html";"Химик ОАО"
"Молочко Дэта Бэби детское от комаров, мошек и слепней 100 мл";"0";"https://zdravcity.ru/p_djeta-bjebi-molochko-sprej-detskoe-ot-komarov-moshek-i-slepnej-fl-100ml-0055511.html";"Химик ОАО"
"Спрей детский 2в1 Бэби Аква Дэта 100мл";"0";"https://zdravcity.ru/p_djeta-bjebi-akva-detskij-sprej-2v1-fl-100ml-0150416.html";"Химик ОАО"
"Бэбидэта пенка детская с 1,5 лет аэр. 100 мл";"0";"https://zdravcity.ru/p_bjebidjeta-penka-detskaja-s-1-5-let-ajer-fl-100ml-0101823.html";"Химик ОАО"
"Гастрофарм таб. n18";"212";"https://zdravcity.ru/p_gastrofarm-tab-n18-0011547.html";"Biovet AO"
"Гастрофарм таблетки 6 шт.";"72";"https://zdravcity.ru/p_gastrofarm-tab-n6-0006779.html";"Biovet AO"
"Дермазин крем 1% 50г";"264";"https://zdravcity.ru/p_dermazin-krem-1-50g-0005090.html";"Lek d.d./Salutas Pharma GmbH"
"Гипотиазид таблетки 100мг 20 шт.";"115";"https://zdravcity.ru/p_gipotiazid-tab-100mg-n20-0007616.html";"Chinoin"
